"Category","Operation","Method","Endpoint","Status","Notes"
"Workflow Management","List all workflows","GET","/workflows","[OK] Fully Supported","Success Retrieves list of all workflows in the instance"
"Workflow Management","Get workflow by ID","GET","/workflows/WUe4y8iYEXNAB6dq","[OK] Fully Supported","Success Retrieves complete workflow definition including nodes and connections"
"Workflow Management","Create new workflow","POST","/workflows","[WARN] Partially Supported","Bad Request (400) - endpoint exists but request invalid Creates a new workflow programmatically"
"Workflow Management","Update workflow","PATCH","/workflows/WUe4y8iYEXNAB6dq","[WARN] Error","Status: 405 - The remote server returned an error: (405) Method Not Allowed. Updates existing workflow properties"
"Workflow Management","Delete workflow","DELETE","/workflows/test-delete-id","[FAIL] Not Supported","Endpoint not found (404) Deletes a workflow - using non-existent ID to avoid accidental deletion"
"Workflow Management","Activate workflow","PATCH","/workflows/WUe4y8iYEXNAB6dq","[WARN] Error","Status: 405 - The remote server returned an error: (405) Method Not Allowed. Activates a workflow"
"Workflow Management","Deactivate workflow","PATCH","/workflows/WUe4y8iYEXNAB6dq","[WARN] Error","Status: 405 - The remote server returned an error: (405) Method Not Allowed. Deactivates a workflow"
"Execution Monitoring","List executions for workflow","GET","/executions?workflowId=WUe4y8iYEXNAB6dq&limit=5","[OK] Fully Supported","Success Retrieves execution history for specific workflow"
"Execution Monitoring","List all executions","GET","/executions?limit=10","[OK] Fully Supported","Success Retrieves execution history across all workflows"
"Execution Monitoring","Get execution by ID","GET","/executions/11711","[OK] Fully Supported","Success Retrieves detailed execution data including input/output and errors"
"Execution Monitoring","Filter executions by status","GET","/executions?status=error&limit=5","[OK] Fully Supported","Success Filters executions by status: success, error, waiting"
"Execution Monitoring","Delete execution","DELETE","/executions/test-delete-id","[WARN] Partially Supported","Bad Request (400) - endpoint exists but request invalid Deletes execution data - using non-existent ID"
"Workflow Triggering","Trigger workflow execution","POST","/workflows/WUe4y8iYEXNAB6dq/execute","[FAIL] Not Supported","Endpoint not found (404) Manually triggers workflow execution"
"Workflow Triggering","Trigger with custom data","POST","/workflows/WUe4y8iYEXNAB6dq/execute","[FAIL] Not Supported","Endpoint not found (404) Triggers workflow with custom input parameters"
"Workflow Triggering","Stop running execution","POST","/executions/11711/stop","[FAIL] Not Supported","Endpoint not found (404) Stops a currently running execution"
"Workflow Triggering","Retry failed execution","POST","/executions/11711/retry","[OK] Fully Supported","Success Retries a failed execution"
"Credentials","List credentials","GET","/credentials","[WARN] Error","Status: 405 - The remote server returned an error: (405) Method Not Allowed. Retrieves list of stored credentials"
"Credentials","Get credential by ID","GET","/credentials/test-id","[WARN] Error","Status: 405 - The remote server returned an error: (405) Method Not Allowed. Retrieves specific credential details"
"Credentials","Create credential","POST","/credentials","[OK] Fully Supported","Success Creates new credential"
"Credentials","Update credential","PATCH","/credentials/test-id","[WARN] Error","Status: 405 - The remote server returned an error: (405) Method Not Allowed. Updates existing credential"
"Credentials","Delete credential","DELETE","/credentials/test-id","[FAIL] Not Supported","Endpoint not found (404) Deletes a credential"
"Credentials","Test credential","POST","/credentials/test-id/test","[FAIL] Not Supported","Endpoint not found (404) Tests credential validity"
"Node Management","List available node types","GET","/node-types","[FAIL] Not Supported","Endpoint not found (404) Retrieves list of available node types"
"Node Management","Get node type details","GET","/node-types/n8n-nodes-base.httpRequest","[FAIL] Not Supported","Endpoint not found (404) Retrieves node configuration schema"
"Configuration","Get instance settings","GET","/settings","[FAIL] Not Supported","Endpoint not found (404) Retrieves N8N instance settings"
"User Management","List users","GET","/users","[OK] Fully Supported","Success Retrieves list of users"
"User Management","Get current user","GET","/users/me","[WARN] Partially Supported","Bad Request (400) - endpoint exists but request invalid Retrieves current authenticated user details"
"User Management","Create user","POST","/users","[WARN] Partially Supported","Bad Request (400) - endpoint exists but request invalid Creates new user"
"User Management","Update user","PATCH","/users/test-id","[WARN] Error","Status: 405 - The remote server returned an error: (405) Method Not Allowed. Updates user details"
"User Management","Delete user","DELETE","/users/test-id","[WARN] Partially Supported","Bad Request (400) - endpoint exists but request invalid Deletes a user"
"Audit","Get audit logs","GET","/audit","[WARN] Error","Status: 405 - The remote server returned an error: (405) Method Not Allowed. Retrieves audit logs of user actions"
"Tags","List tags","GET","/tags","[OK] Fully Supported","Success Retrieves workflow tags"
"Tags","Create tag","POST","/tags","[OK] Fully Supported","Success Creates new tag"
"Tags","Update tag","PATCH","/tags/test-id","[WARN] Error","Status: 405 - The remote server returned an error: (405) Method Not Allowed. Updates tag"
"Tags","Delete tag","DELETE","/tags/test-id","[FAIL] Not Supported","Endpoint not found (404) Deletes a tag"
"Workflow","Export workflow to JSON","GET","/workflows/WUe4y8iYEXNAB6dq/export","[FAIL] Not Supported","Endpoint not found (404) Exports workflow as JSON"
"Workflow","Import workflow from JSON","POST","/workflows/import","[WARN] Error","Status: 405 - The remote server returned an error: (405) Method Not Allowed. Imports workflow from JSON"
"Workflow","Duplicate workflow","POST","/workflows/WUe4y8iYEXNAB6dq/duplicate","[FAIL] Not Supported","Endpoint not found (404) Duplicates an existing workflow"
"Execution","Get execution logs","GET","/executions/11711/logs","[FAIL] Not Supported","Endpoint not found (404) Retrieves execution logs"
"Webhook","Trigger webhook workflow","POST","/webhook/test-webhook-path","[FAIL] Not Supported","Endpoint not found (404) Triggers webhook-based workflow"
"Variables","List environment variables","GET","/variables","[WARN] Requires Permissions","Forbidden (403) Retrieves environment variables"
"Variables","Create variable","POST","/variables","[WARN] Requires Permissions","Forbidden (403) Creates environment variable"
"Source Control","Get source control status","GET","/source-control/status","[FAIL] Not Supported","Endpoint not found (404) Retrieves source control status"
"License","Get license information","GET","/license","[FAIL] Not Supported","Endpoint not found (404) Retrieves license information"
"Health","Health check","GET","/health","[FAIL] Not Supported","Endpoint not found (404) Checks instance health status"
